Date,Team.1,Team.2,FT
8/14/2005,Arsenal,Newcastle,Feb-00
8/14/2005,Wigan,Chelsea,0-1
8/20/2005,Birmingham,Man City,2-Jan
8/20/2005,Blackburn,Fulham,1-Feb
8/20/2005,Charlton,Wigan,Jan-00
8/20/2005,Liverpool,Sunderland,Jan-00
8/20/2005,Man United,Aston Villa,Jan-00
8/20/2005,Newcastle,West Ham,0-0
8/20/2005,Tottenham,Middlesbrough,Feb-00
8/20/2005,West Brom,Portsmouth,1-Feb
8/21/2005,Bolton,Everton,0-1
8/21/2005,Chelsea,Arsenal,Jan-00
8/23/2005,Birmingham,Middlesbrough,0-3
8/23/2005,Portsmouth,Aston Villa,1-Jan
8/23/2005,Sunderland,Man City,2-Jan
8/24/2005,Arsenal,Fulham,1-Apr
8/24/2005,Blackburn,Tottenham,0-0
8/24/2005,Bolton,Newcastle,Feb-00
8/24/2005,Chelsea,West Brom,Apr-00
8/27/2005,Aston Villa,Blackburn,Jan-00
8/27/2005,Fulham,Everton,Jan-00
8/27/2005,Man City,Portsmouth,1-Feb
8/27/2005,Tottenham,Chelsea,0-2
8/27/2005,West Brom,Birmingham,3-Feb
8/27/2005,West Ham,Bolton,2-Jan
8/27/2005,Wigan,Sunderland,Jan-00
8/28/2005,Middlesbrough,Charlton,0-3
8/28/2005,Newcastle,Man United,0-2
9/10/2005,Birmingham,Charlton,0-1
9/10/2005,Chelsea,Sunderland,Feb-00
9/10/2005,Everton,Portsmouth,0-1
9/10/2005,Man United,Man City,1-Jan
9/10/2005,Middlesbrough,Arsenal,1-Feb
9/10/2005,Newcastle,Fulham,1-Jan
9/10/2005,Tottenham,Liverpool,0-0
9/10/2005,West Brom,Wigan,2-Jan
9/11/2005,Bolton,Blackburn,0-0
9/12/2005,West Ham,Aston Villa,Apr-00
9/17/2005,Aston Villa,Tottenham,1-Jan
9/17/2005,Charlton,Chelsea,0-2
9/17/2005,Fulham,West Ham,2-Jan
9/17/2005,Portsmouth,Birmingham,1-Jan
9/17/2005,Sunderland,West Brom,1-Jan
9/18/2005,Blackburn,Newcastle,0-3
9/18/2005,Liverpool,Man United,0-0
9/18/2005,Man City,Bolton,0-1
9/18/2005,Wigan,Middlesbrough,1-Jan
9/19/2005,Arsenal,Everton,Feb-00
9/24/2005,Birmingham,Liverpool,2-Feb
9/24/2005,Bolton,Portsmouth,Jan-00
9/24/2005,Chelsea,Aston Villa,1-Feb
9/24/2005,Everton,Wigan,0-1
9/24/2005,Man United,Blackburn,2-Jan
9/24/2005,Newcastle,Man City,Jan-00
9/24/2005,West Brom,Charlton,2-Jan
9/24/2005,West Ham,Arsenal,0-0
9/25/2005,Middlesbrough,Sunderland,0-2
9/26/2005,Tottenham,Fulham,Jan-00
10/1/2005,Blackburn,West Brom,Feb-00
10/1/2005,Charlton,Tottenham,3-Feb
10/1/2005,Fulham,Man United,3-Feb
10/1/2005,Portsmouth,Newcastle,0-0
10/1/2005,Sunderland,West Ham,1-Jan
10/2/2005,Arsenal,Birmingham,Jan-00
10/2/2005,Aston Villa,Middlesbrough,3-Feb
10/2/2005,Liverpool,Chelsea,4-Jan
10/2/2005,Man City,Everton,Feb-00
10/2/2005,Wigan,Bolton,1-Feb
10/15/2005,Chelsea,Bolton,1-May
10/15/2005,Liverpool,Blackburn,Jan-00
10/15/2005,Middlesbrough,Portsmouth,1-Jan
10/15/2005,Sunderland,Man United,3-Jan
10/15/2005,Tottenham,Everton,Feb-00
10/15/2005,West Brom,Arsenal,1-Feb
10/15/2005,Wigan,Newcastle,Jan-00
10/16/2005,Birmingham,Aston Villa,0-1
10/16/2005,Man City,West Ham,1-Feb
10/17/2005,Charlton,Fulham,1-Jan
10/22/2005,Arsenal,Man City,Jan-00
10/22/2005,Aston Villa,Wigan,0-2
10/22/2005,Blackburn,Birmingham,Feb-00
10/22/2005,Fulham,Liverpool,Feb-00
10/22/2005,Man United,Tottenham,1-Jan
10/22/2005,Portsmouth,Charlton,2-Jan
10/23/2005,Bolton,West Brom,Feb-00
10/23/2005,Everton,Chelsea,1-Jan
10/23/2005,Newcastle,Sunderland,2-Mar
10/23/2005,West Ham,Middlesbrough,1-Feb
10/29/2005,Birmingham,Everton,0-1
10/29/2005,Charlton,Bolton,0-1
10/29/2005,Chelsea,Blackburn,2-Apr
10/29/2005,Liverpool,West Ham,Feb-00
10/29/2005,Middlesbrough,Man United,1-Apr
10/29/2005,Sunderland,Portsmouth,4-Jan
10/29/2005,Tottenham,Arsenal,1-Jan
10/29/2005,Wigan,Fulham,Jan-00
10/30/2005,West Brom,Newcastle,0-3
10/31/2005,Man City,Aston Villa,1-Mar
11/5/2005,Arsenal,Sunderland,1-Mar
11/5/2005,Aston Villa,Liverpool,0-2
11/5/2005,Blackburn,Charlton,1-Apr
11/5/2005,Fulham,Man City,1-Feb
11/5/2005,Newcastle,Birmingham,Jan-00
11/5/2005,Portsmouth,Wigan,0-2
11/5/2005,West Ham,West Brom,Jan-00
11/6/2005,Everton,Middlesbrough,Jan-00
11/6/2005,Man United,Chelsea,Jan-00
11/7/2005,Bolton,Tottenham,Jan-00
11/19/2005,Charlton,Man United,3-Jan
11/19/2005,Chelsea,Newcastle,Mar-00
11/19/2005,Liverpool,Portsmouth,Mar-00
11/19/2005,Man City,Blackburn,0-0
11/19/2005,Sunderland,Aston Villa,3-Jan
11/19/2005,West Brom,Everton,Apr-00
11/19/2005,Wigan,Arsenal,3-Feb
11/20/2005,Middlesbrough,Fulham,2-Mar
11/20/2005,Tottenham,West Ham,1-Jan
11/26/2005,Arsenal,Blackburn,Mar-00
11/26/2005,Aston Villa,Charlton,Jan-00
11/26/2005,Man City,Liverpool,0-1
11/26/2005,Portsmouth,Chelsea,0-2
11/26/2005,Sunderland,Birmingham,0-1
11/26/2005,Wigan,Tottenham,2-Jan
11/27/2005,Everton,Newcastle,Jan-00
11/27/2005,Fulham,Bolton,1-Feb
11/27/2005,Middlesbrough,West Brom,2-Feb
11/27/2005,West Ham,Man United,2-Jan
11/30/2005,Sunderland,Liverpool,0-2
12/3/2005,Blackburn,Everton,0-2
12/3/2005,Bolton,Arsenal,Feb-00
12/3/2005,Chelsea,Middlesbrough,Jan-00
12/3/2005,Liverpool,Wigan,Mar-00
12/3/2005,Man United,Portsmouth,Mar-00
12/3/2005,Newcastle,Aston Villa,1-Jan
12/3/2005,Tottenham,Sunderland,2-Mar
12/3/2005,West Brom,Fulham,0-0
12/4/2005,Charlton,Man City,5-Feb
12/5/2005,Birmingham,West Ham,2-Jan
12/10/2005,Birmingham,Fulham,Jan-00
12/10/2005,Blackburn,West Ham,2-Mar
12/10/2005,Bolton,Aston Villa,1-Jan
12/10/2005,Charlton,Sunderland,Feb-00
12/10/2005,Chelsea,Wigan,Jan-00
12/10/2005,Liverpool,Middlesbrough,Feb-00
12/10/2005,Newcastle,Arsenal,Jan-00
12/10/2005,West Brom,Man City,Feb-00
12/11/2005,Man United,Everton,1-Jan
12/12/2005,Tottenham,Portsmouth,1-Mar
12/14/2005,Everton,West Ham,2-Jan
12/14/2005,Man United,Wigan,Apr-00
12/17/2005,Aston Villa,Man United,0-2
12/17/2005,Everton,Bolton,0-4
12/17/2005,Fulham,Blackburn,1-Feb
12/17/2005,Man City,Birmingham,1-Apr
12/17/2005,Portsmouth,West Brom,Jan-00
12/17/2005,West Ham,Newcastle,4-Feb
12/17/2005,Wigan,Charlton,Mar-00
12/18/2005,Arsenal,Chelsea,0-2
12/18/2005,Middlesbrough,Tottenham,3-Mar
12/26/2005,Aston Villa,Everton,Apr-00
12/26/2005,Charlton,Arsenal,0-1
12/26/2005,Chelsea,Fulham,2-Mar
12/26/2005,Liverpool,Newcastle,Feb-00
12/26/2005,Man United,West Brom,Mar-00
12/26/2005,Middlesbrough,Blackburn,0-2
12/26/2005,Portsmouth,West Ham,1-Jan
12/26/2005,Sunderland,Bolton,0-0
12/26/2005,Tottenham,Birmingham,Feb-00
12/26/2005,Wigan,Man City,3-Apr
12/28/2005,Arsenal,Portsmouth,Apr-00
12/28/2005,Birmingham,Man United,2-Feb
12/28/2005,Everton,Liverpool,3-Jan
12/28/2005,Fulham,Aston Villa,3-Mar
12/28/2005,Man City,Chelsea,0-1
12/28/2005,West Brom,Tottenham,Feb-00
12/28/2005,West Ham,Wigan,0-2
12/31/2005,Aston Villa,Arsenal,0-0
12/31/2005,Charlton,West Ham,Feb-00
12/31/2005,Chelsea,Birmingham,Feb-00
12/31/2005,Liverpool,West Brom,Jan-00
12/31/2005,Man United,Bolton,1-Apr
12/31/2005,Middlesbrough,Man City,0-0
12/31/2005,Portsmouth,Fulham,Jan-00
12/31/2005,Sunderland,Everton,0-1
12/31/2005,Tottenham,Newcastle,Feb-00
12/31/2005,Wigan,Blackburn,0-3
1/2/2006,Birmingham,Wigan,Feb-00
1/2/2006,Blackburn,Portsmouth,1-Feb
1/2/2006,Bolton,Liverpool,2-Feb
1/2/2006,Everton,Charlton,1-Mar
1/2/2006,Fulham,Sunderland,1-Feb
1/2/2006,Newcastle,Middlesbrough,2-Feb
1/2/2006,West Brom,Aston Villa,2-Jan
1/2/2006,West Ham,Chelsea,3-Jan
1/3/2006,Arsenal,Man United,0-0
1/4/2006,Man City,Tottenham,0-2
1/14/2006,Arsenal,Middlesbrough,Jul-00
1/14/2006,Aston Villa,West Ham,2-Jan
1/14/2006,Blackburn,Bolton,0-0
1/14/2006,Charlton,Birmingham,Feb-00
1/14/2006,Fulham,Newcastle,Jan-00
1/14/2006,Liverpool,Tottenham,Jan-00
1/14/2006,Man City,Man United,1-Mar
1/14/2006,Portsmouth,Everton,0-1
1/15/2006,Sunderland,Chelsea,2-Jan
1/15/2006,Wigan,West Brom,0-1
1/21/2006,Birmingham,Portsmouth,May-00
1/21/2006,Bolton,Man City,Feb-00
1/21/2006,Everton,Arsenal,Jan-00
1/21/2006,Middlesbrough,Wigan,3-Feb
1/21/2006,Newcastle,Blackburn,0-1
1/21/2006,Tottenham,Aston Villa,0-0
1/21/2006,West Brom,Sunderland,0-1
1/22/2006,Chelsea,Charlton,1-Jan
1/22/2006,Man United,Liverpool,Jan-00
1/23/2006,West Ham,Fulham,1-Feb
1/31/2006,Charlton,West Brom,0-0
1/31/2006,Fulham,Tottenham,Jan-00
1/31/2006,Sunderland,Middlesbrough,0-3
1/31/2006,Wigan,Everton,1-Jan
2/1/2006,Arsenal,West Ham,3-Feb
2/1/2006,Aston Villa,Chelsea,1-Jan
2/1/2006,Blackburn,Man United,3-Apr
2/1/2006,Liverpool,Birmingham,1-Jan
2/1/2006,Man City,Newcastle,Mar-00
2/1/2006,Portsmouth,Bolton,1-Jan
2/4/2006,Birmingham,Arsenal,0-2
2/4/2006,Bolton,Wigan,1-Jan
2/4/2006,Everton,Man City,Jan-00
2/4/2006,Man United,Fulham,2-Apr
2/4/2006,Middlesbrough,Aston Villa,0-4
2/4/2006,Newcastle,Portsmouth,Feb-00
2/4/2006,West Brom,Blackburn,Feb-00
2/4/2006,West Ham,Sunderland,Feb-00
2/5/2006,Chelsea,Liverpool,Feb-00
2/5/2006,Tottenham,Charlton,1-Mar
2/8/2006,Charlton,Liverpool,Feb-00
2/11/2006,Arsenal,Bolton,1-Jan
2/11/2006,Aston Villa,Newcastle,2-Jan
2/11/2006,Everton,Blackburn,Jan-00
2/11/2006,Fulham,West Brom,1-Jun
2/11/2006,Middlesbrough,Chelsea,Mar-00
2/11/2006,Portsmouth,Man United,3-Jan
2/11/2006,Wigan,Liverpool,0-1
2/12/2006,Man City,Charlton,2-Mar
2/12/2006,Sunderland,Tottenham,1-Jan
2/13/2006,West Ham,Birmingham,Mar-00
2/14/2006,Liverpool,Arsenal,Jan-00
2/15/2006,Blackburn,Sunderland,Feb-00
2/19/2006,Tottenham,Wigan,2-Feb
2/22/2006,Newcastle,Charlton,0-0
2/25/2006,Birmingham,Sunderland,Jan-00
2/25/2006,Blackburn,Arsenal,Jan-00
2/25/2006,Charlton,Aston Villa,0-0
2/25/2006,Chelsea,Portsmouth,Feb-00
2/25/2006,Newcastle,Everton,Feb-00
2/26/2006,Bolton,Fulham,1-Feb
2/26/2006,Liverpool,Man City,Jan-00
2/26/2006,West Brom,Middlesbrough,0-2
3/4/2006,Aston Villa,Portsmouth,Jan-00
3/4/2006,Fulham,Arsenal,0-4
3/4/2006,Liverpool,Charlton,0-0
3/4/2006,Middlesbrough,Birmingham,Jan-00
3/4/2006,Newcastle,Bolton,1-Mar
3/4/2006,West Brom,Chelsea,2-Jan
3/4/2006,West Ham,Everton,2-Feb
3/5/2006,Man City,Sunderland,1-Feb
3/5/2006,Tottenham,Blackburn,2-Mar
3/6/2006,Wigan,Man United,2-Jan
3/11/2006,Birmingham,West Brom,1-Jan
3/11/2006,Blackburn,Aston Villa,Feb-00
3/11/2006,Bolton,West Ham,1-Apr
3/11/2006,Chelsea,Tottenham,1-Feb
3/11/2006,Everton,Fulham,1-Mar
3/11/2006,Portsmouth,Man City,1-Feb
3/11/2006,Sunderland,Wigan,0-1
3/12/2006,Arsenal,Liverpool,1-Feb
3/12/2006,Charlton,Middlesbrough,1-Feb
3/12/2006,Man United,Newcastle,Feb-00
3/15/2006,Liverpool,Fulham,1-May
3/18/2006,Arsenal,Charlton,Mar-00
3/18/2006,Birmingham,Tottenham,0-2
3/18/2006,Blackburn,Middlesbrough,2-Mar
3/18/2006,Bolton,Sunderland,Feb-00
3/18/2006,Everton,Aston Villa,1-Apr
3/18/2006,Man City,Wigan,0-1
3/18/2006,West Brom,Man United,2-Jan
3/18/2006,West Ham,Portsmouth,4-Feb
3/19/2006,Fulham,Chelsea,Jan-00
3/19/2006,Newcastle,Liverpool,3-Jan
3/25/2006,Aston Villa,Fulham,0-0
3/25/2006,Chelsea,Man City,Feb-00
3/25/2006,Liverpool,Everton,1-Mar
3/25/2006,Sunderland,Blackburn,0-1
3/25/2006,Wigan,West Ham,2-Jan
3/26/2006,Charlton,Newcastle,1-Mar
3/26/2006,Man United,Birmingham,Mar-00
3/26/2006,Middlesbrough,Bolton,3-Apr
3/27/2006,Tottenham,West Brom,1-Feb
3/29/2006,Man United,West Ham,Jan-00
4/1/2006,Arsenal,Aston Villa,May-00
4/1/2006,Birmingham,Chelsea,0-0
4/1/2006,Bolton,Man United,2-Jan
4/1/2006,Everton,Sunderland,2-Feb
4/1/2006,Fulham,Portsmouth,3-Jan
4/1/2006,Newcastle,Tottenham,1-Mar
4/1/2006,West Brom,Liverpool,0-2
4/2/2006,Man City,Middlesbrough,0-1
4/2/2006,West Ham,Charlton,0-0
4/3/2006,Blackburn,Wigan,1-Jan
4/4/2006,Birmingham,Bolton,Jan-00
4/8/2006,Charlton,Everton,0-0
4/8/2006,Portsmouth,Blackburn,2-Feb
4/8/2006,Tottenham,Man City,1-Feb
4/8/2006,Wigan,Birmingham,1-Jan
4/9/2006,Aston Villa,West Brom,0-0
4/9/2006,Chelsea,West Ham,1-Apr
4/9/2006,Liverpool,Bolton,Jan-00
4/9/2006,Man United,Arsenal,Feb-00
4/9/2006,Middlesbrough,Newcastle,2-Jan
4/12/2006,Portsmouth,Arsenal,1-Jan
4/14/2006,Man United,Sunderland,0-0
4/15/2006,Arsenal,West Brom,1-Mar
4/15/2006,Bolton,Chelsea,0-2
4/15/2006,Everton,Tottenham,0-1
4/15/2006,Fulham,Charlton,1-Feb
4/15/2006,Newcastle,Wigan,1-Mar
4/15/2006,Portsmouth,Middlesbrough,Jan-00
4/15/2006,West Ham,Man City,Jan-00
4/16/2006,Aston Villa,Birmingham,1-Mar
4/16/2006,Blackburn,Liverpool,0-1
4/17/2006,Charlton,Portsmouth,1-Feb
4/17/2006,Chelsea,Everton,Mar-00
4/17/2006,Middlesbrough,West Ham,Feb-00
4/17/2006,Sunderland,Newcastle,4-Jan
4/17/2006,Tottenham,Man United,2-Jan
4/17/2006,West Brom,Bolton,0-0
4/18/2006,Wigan,Aston Villa,2-Mar
4/19/2006,Birmingham,Blackburn,1-Feb
4/22/2006,Arsenal,Tottenham,1-Jan
4/22/2006,Bolton,Charlton,1-Apr
4/22/2006,Everton,Birmingham,0-0
4/22/2006,Newcastle,West Brom,Mar-00
4/22/2006,Portsmouth,Sunderland,1-Feb
4/24/2006,Fulham,Wigan,Jan-00
4/25/2006,Aston Villa,Man City,0-1
4/26/2006,West Ham,Liverpool,2-Jan
4/29/2006,Birmingham,Newcastle,0-0
4/29/2006,Charlton,Blackburn,0-2
4/29/2006,Chelsea,Man United,Mar-00
4/29/2006,Liverpool,Aston Villa,1-Mar
4/29/2006,Man City,Fulham,2-Jan
4/29/2006,Middlesbrough,Everton,0-1
4/29/2006,Wigan,Portsmouth,2-Jan
4/30/2006,Tottenham,Bolton,Jan-00
5/1/2006,Man United,Middlesbrough,0-0
5/1/2006,Sunderland,Arsenal,0-3
5/1/2006,West Brom,West Ham,0-1
5/2/2006,Blackburn,Chelsea,Jan-00
5/3/2006,Bolton,Middlesbrough,1-Jan
5/4/2006,Man City,Arsenal,3-Jan
5/4/2006,Sunderland,Fulham,1-Feb
5/7/2006,Arsenal,Wigan,2-Apr
5/7/2006,Aston Villa,Sunderland,1-Feb
5/7/2006,Blackburn,Man City,Feb-00
5/7/2006,Bolton,Birmingham,Jan-00
5/7/2006,Everton,West Brom,2-Feb
5/7/2006,Fulham,Middlesbrough,Jan-00
5/7/2006,Man United,Charlton,Apr-00
5/7/2006,Newcastle,Chelsea,Jan-00
5/7/2006,Portsmouth,Liverpool,3-Jan
5/7/2006,West Ham,Tottenham,1-Feb
8/19/2006,Arsenal,Aston Villa,1-Jan
8/19/2006,Bolton,Tottenham,Feb-00
8/19/2006,Everton,Watford,1-Feb
8/19/2006,Newcastle,Wigan,1-Feb
8/19/2006,Portsmouth,Blackburn,Mar-00
8/19/2006,Reading,Middlesbrough,2-Mar
8/19/2006,Sheffield United,Liverpool,1-Jan
8/19/2006,West Ham,Charlton,1-Mar
8/20/2006,Chelsea,Man City,Mar-00
8/20/2006,Man United,Fulham,1-May
8/22/2006,Tottenham,Sheffield United,Feb-00
8/22/2006,Watford,West Ham,1-Jan
8/23/2006,Aston Villa,Reading,1-Feb
8/23/2006,Blackburn,Everton,1-Jan
8/23/2006,Charlton,Man United,0-3
8/23/2006,Fulham,Bolton,1-Jan
8/23/2006,Man City,Portsmouth,0-0
8/23/2006,Middlesbrough,Chelsea,1-Feb
8/26/2006,Charlton,Bolton,Feb-00
8/26/2006,Fulham,Sheffield United,Jan-00
8/26/2006,Liverpool,West Ham,1-Feb
8/26/2006,Man City,Arsenal,Jan-00
8/26/2006,Tottenham,Everton,0-2
8/26/2006,Watford,Man United,2-Jan
8/26/2006,Wigan,Reading,Jan-00
8/27/2006,Aston Villa,Newcastle,Feb-00
8/27/2006,Blackburn,Chelsea,0-2
8/28/2006,Middlesbrough,Portsmouth,0-4
9/9/2006,Arsenal,Middlesbrough,1-Jan
9/9/2006,Bolton,Watford,Jan-00
9/9/2006,Chelsea,Charlton,1-Feb
9/9/2006,Everton,Liverpool,Mar-00
9/9/2006,Man United,Tottenham,Jan-00
9/9/2006,Newcastle,Fulham,2-Jan
9/9/2006,Portsmouth,Wigan,Jan-00
9/9/2006,Sheffield United,Blackburn,0-0
9/10/2006,West Ham,Aston Villa,1-Jan
9/11/2006,Reading,Man City,Jan-00
9/16/2006,Bolton,Middlesbrough,0-0
9/16/2006,Charlton,Portsmouth,0-1
9/16/2006,Everton,Wigan,2-Feb
9/16/2006,Sheffield United,Reading,2-Jan
9/16/2006,Watford,Aston Villa,0-0
9/17/2006,Blackburn,Man City,2-Apr
9/17/2006,Chelsea,Liverpool,Jan-00
9/17/2006,Man United,Arsenal,0-1
9/17/2006,Tottenham,Fulham,0-0
9/17/2006,West Ham,Newcastle,0-2
9/20/2006,Liverpool,Newcastle,Feb-00
9/23/2006,Arsenal,Sheffield United,Mar-00
9/23/2006,Aston Villa,Charlton,Feb-00
9/23/2006,Fulham,Chelsea,0-2
9/23/2006,Liverpool,Tottenham,Mar-00
9/23/2006,Man City,West Ham,Feb-00
9/23/2006,Middlesbrough,Blackburn,0-1
9/23/2006,Reading,Man United,1-Jan
9/23/2006,Wigan,Watford,1-Jan
9/24/2006,Newcastle,Everton,1-Jan
9/25/2006,Portsmouth,Bolton,0-1
9/30/2006,Bolton,Liverpool,Feb-00
9/30/2006,Charlton,Arsenal,2-Jan
9/30/2006,Chelsea,Aston Villa,1-Jan
9/30/2006,Everton,Man City,1-Jan
9/30/2006,Sheffield United,Middlesbrough,1-Feb
10/1/2006,Blackburn,Wigan,1-Feb
10/1/2006,Man United,Newcastle,Feb-00
10/1/2006,Tottenham,Portsmouth,1-Feb
10/1/2006,West Ham,Reading,0-1
10/2/2006,Watford,Fulham,3-Mar
10/14/2006,Arsenal,Watford,Mar-00
10/14/2006,Aston Villa,Tottenham,1-Jan
10/14/2006,Liverpool,Blackburn,1-Jan
10/14/2006,Man City,Sheffield United,0-0
10/14/2006,Middlesbrough,Everton,1-Feb
10/14/2006,Portsmouth,West Ham,Feb-00
10/14/2006,Reading,Chelsea,0-1
10/14/2006,Wigan,Man United,3-Jan
10/15/2006,Newcastle,Bolton,2-Jan
10/16/2006,Fulham,Charlton,1-Feb
10/21/2006,Aston Villa,Fulham,1-Jan
10/21/2006,Charlton,Watford,0-0
10/21/2006,Chelsea,Portsmouth,1-Feb
10/21/2006,Everton,Sheffield United,Feb-00
10/21/2006,Wigan,Man City,Apr-00
10/22/2006,Blackburn,Bolton,0-1
10/22/2006,Man United,Liverpool,Feb-00
10/22/2006,Middlesbrough,Newcastle,Jan-00
10/22/2006,Reading,Arsenal,0-4
10/22/2006,Tottenham,West Ham,Jan-00
10/28/2006,Arsenal,Everton,1-Jan
10/28/2006,Bolton,Man United,0-4
10/28/2006,Fulham,Wigan,0-1
10/28/2006,Liverpool,Aston Villa,1-Mar
10/28/2006,Newcastle,Charlton,0-0
10/28/2006,Portsmouth,Reading,1-Mar
10/28/2006,Sheffield United,Chelsea,0-2
10/28/2006,Watford,Tottenham,0-0
10/29/2006,West Ham,Blackburn,1-Feb
10/30/2006,Man City,Middlesbrough,Jan-00
11/4/2006,Bolton,Wigan,0-1
11/4/2006,Charlton,Man City,Jan-00
11/4/2006,Fulham,Everton,Jan-00
11/4/2006,Liverpool,Reading,Feb-00
11/4/2006,Man United,Portsmouth,Mar-00
11/4/2006,Newcastle,Sheffield United,0-1
11/4/2006,Watford,Middlesbrough,Feb-00
11/5/2006,Aston Villa,Blackburn,Feb-00
11/5/2006,Tottenham,Chelsea,1-Feb
11/5/2006,West Ham,Arsenal,Jan-00
11/11/2006,Blackburn,Man United,0-1
11/11/2006,Chelsea,Watford,Apr-00
11/11/2006,Everton,Aston Villa,0-1
11/11/2006,Man City,Newcastle,0-0
11/11/2006,Middlesbrough,West Ham,Jan-00
11/11/2006,Portsmouth,Fulham,1-Jan
11/11/2006,Sheffield United,Bolton,2-Feb
11/11/2006,Wigan,Charlton,2-Mar
11/12/2006,Arsenal,Liverpool,Mar-00
11/12/2006,Reading,Tottenham,1-Mar
11/18/2006,Arsenal,Newcastle,1-Jan
11/18/2006,Chelsea,West Ham,Jan-00
11/18/2006,Everton,Bolton,Jan-00
11/18/2006,Man City,Fulham,1-Mar
11/18/2006,Middlesbrough,Liverpool,0-0
11/18/2006,Portsmouth,Watford,1-Feb
11/18/2006,Reading,Charlton,Feb-00
11/18/2006,Sheffield United,Man United,2-Jan
11/19/2006,Blackburn,Tottenham,1-Jan
11/19/2006,Wigan,Aston Villa,0-0
11/25/2006,Aston Villa,Middlesbrough,1-Jan
11/25/2006,Bolton,Arsenal,1-Mar
11/25/2006,Charlton,Everton,1-Jan
11/25/2006,Fulham,Reading,0-1
11/25/2006,Liverpool,Man City,Jan-00
11/25/2006,West Ham,Sheffield United,Jan-00
11/26/2006,Man United,Chelsea,1-Jan
11/26/2006,Newcastle,Portsmouth,Jan-00
11/26/2006,Tottenham,Wigan,1-Mar
11/28/2006,Watford,Sheffield United,0-1
11/29/2006,Aston Villa,Man City,3-Jan
11/29/2006,Bolton,Chelsea,0-1
11/29/2006,Fulham,Arsenal,1-Feb
11/29/2006,Liverpool,Portsmouth,0-0
11/29/2006,Man United,Everton,Mar-00
12/2/2006,Arsenal,Tottenham,Mar-00
12/2/2006,Blackburn,Fulham,Feb-00
12/2/2006,Middlesbrough,Man United,2-Jan
12/2/2006,Portsmouth,Aston Villa,2-Feb
12/2/2006,Reading,Bolton,Jan-00
12/2/2006,Sheffield United,Charlton,1-Feb
12/2/2006,Wigan,Liverpool,0-4
12/3/2006,Everton,West Ham,Feb-00
12/4/2006,Man City,Watford,0-0
12/5/2006,Charlton,Blackburn,Jan-00
12/5/2006,Tottenham,Middlesbrough,1-Feb
12/6/2006,Newcastle,Reading,2-Mar
12/6/2006,West Ham,Wigan,0-2
12/9/2006,Blackburn,Newcastle,3-Jan
12/9/2006,Bolton,West Ham,Apr-00
12/9/2006,Liverpool,Fulham,Apr-00
12/9/2006,Man United,Man City,1-Mar
12/9/2006,Middlesbrough,Wigan,1-Jan
12/9/2006,Portsmouth,Everton,Feb-00
12/9/2006,Tottenham,Charlton,1-May
12/9/2006,Watford,Reading,0-0
12/10/2006,Chelsea,Arsenal,1-Jan
12/11/2006,Sheffield United,Aston Villa,2-Feb
12/13/2006,Chelsea,Newcastle,Jan-00
12/13/2006,Wigan,Arsenal,0-1
12/16/2006,Arsenal,Portsmouth,2-Feb
12/16/2006,Aston Villa,Bolton,0-1
12/16/2006,Charlton,Liverpool,0-3
12/16/2006,Newcastle,Watford,1-Feb
12/16/2006,Reading,Blackburn,2-Jan
12/16/2006,Wigan,Sheffield United,0-1
12/17/2006,Everton,Chelsea,3-Feb
12/17/2006,Man City,Tottenham,2-Jan
12/17/2006,West Ham,Man United,Jan-00
12/18/2006,Fulham,Middlesbrough,1-Feb
12/23/2006,Arsenal,Blackburn,2-Jun
12/23/2006,Aston Villa,Man United,0-3
12/23/2006,Fulham,West Ham,0-0
12/23/2006,Liverpool,Watford,Feb-00
12/23/2006,Man City,Bolton,0-2
12/23/2006,Middlesbrough,Charlton,Feb-00
12/23/2006,Newcastle,Tottenham,1-Mar
12/23/2006,Portsmouth,Sheffield United,1-Mar
12/23/2006,Reading,Everton,0-2
12/23/2006,Wigan,Chelsea,3-Feb
12/26/2006,Blackburn,Liverpool,Jan-00
12/26/2006,Bolton,Newcastle,1-Feb
12/26/2006,Chelsea,Reading,2-Feb
12/26/2006,Everton,Middlesbrough,0-0
12/26/2006,Man United,Wigan,1-Mar
12/26/2006,Sheffield United,Man City,0-1
12/26/2006,Tottenham,Aston Villa,1-Feb
12/26/2006,Watford,Arsenal,2-Jan
12/26/2006,West Ham,Portsmouth,2-Jan
12/27/2006,Charlton,Fulham,2-Feb
12/30/2006,Blackburn,Middlesbrough,1-Feb
12/30/2006,Bolton,Portsmouth,2-Mar
12/30/2006,Charlton,Aston Villa,1-Feb
12/30/2006,Chelsea,Fulham,2-Feb
12/30/2006,Everton,Newcastle,Mar-00
12/30/2006,Man United,Reading,2-Mar
12/30/2006,Sheffield United,Arsenal,Jan-00
12/30/2006,Tottenham,Liverpool,0-1
12/30/2006,West Ham,Man City,0-1
1/1/2007,Fulham,Watford,0-0
1/1/2007,Liverpool,Bolton,Mar-00
1/1/2007,Man City,Everton,1-Feb
1/1/2007,Middlesbrough,Sheffield United,1-Mar
1/1/2007,Newcastle,Man United,2-Feb
1/1/2007,Portsmouth,Tottenham,1-Jan
1/1/2007,Reading,West Ham,Jun-00
1/1/2007,Wigan,Blackburn,0-3
1/2/2007,Arsenal,Charlton,Apr-00
1/2/2007,Aston Villa,Chelsea,0-0
1/13/2007,Blackburn,Arsenal,0-2
1/13/2007,Bolton,Man City,0-0
